*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 13:24:35:877331" "Robot State: ,Introduce Nao Started"
"2017-06-16 13:24:38:249396" "Robot State: ,Introduce Nao Ended"
"2017-06-16 13:24:39:766262" "Robot State: ,Looking at The Book"
"2017-06-16 13:24:40:315125" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:24:40:985951" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:24:51:106120" "Robot State: ,Looking at The Book"
