*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 09:46:05:007671" "Robot State: ,Introduce Nao Started"
"2017-06-15 09:46:06:567974" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:46:18:694077" "Robot State: ,Looking at The Book"
"2017-06-15 09:46:23:389752" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:46:23:390089" "Robot State: ,Introduce Nao Ended"
"2017-06-15 09:46:24:613329" "Robot State: ,Looking at The Book"
"2017-06-15 09:46:51:033857" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:46:51:568357" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:46:52:092421" "Robot State: ,Looking at The Book"
"2017-06-15 09:46:54:976812" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:47:18:664102" "Robot State: ,Looking at The Book"
"2017-06-15 09:47:21:327158" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:47:36:034709" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:47:36:568936" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:47:58:584158" "Robot State: ,Looking at The Book"
"2017-06-15 09:48:01:436120" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:48:21:035411" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:48:21:568726" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:48:30:244644" "Robot State: ,Looking at The Book"
"2017-06-15 09:48:32:996753" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:48:46:779062" "Robot State: ,Looking at The Book"
"2017-06-15 09:48:51:921395" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:49:06:036083" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:49:06:569653" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:49:09:923779" "Robot State: ,Looking at The Book"
"2017-06-15 09:49:10:925402" "Robot State: ,Looking at The Book"
"2017-06-15 09:49:14:268630" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:49:16:418978" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:49:26:484687" "Robot State: ,Looking at The Book"
"2017-06-15 09:49:28:408589" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:49:51:036478" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:49:51:570087" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:50:35:903674" "Robot State: ,Looking at The Book"
"2017-06-15 09:50:36:037751" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:50:36:569900" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 09:50:38:772378" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 09:51:08:564456" "Robot State: ,Looking at The Book"
