*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 15:29:27:730404" "Robot State: ,Introduce Nao Started"
"2017-06-16 15:29:30:101402" "Robot State: ,Introduce Nao Ended"
"2017-06-16 15:29:31:614665" "Robot State: ,Looking at The Book"
"2017-06-16 15:29:32:311840" "Robot State: ,TaskFINISH Selected"
"2017-06-16 15:29:32:901507" "Robot State: ,TaskFINISH Selected"
"2017-06-16 15:29:46:515619" "Robot State: ,Looking at The Book"
"2017-06-16 15:31:37:798328" "Detected Cards: YELLOW Card Detected"
"2017-06-16 15:31:45:008861" "Detected Cards: RED Card Detected"
"2017-06-16 15:31:45:219877" "Robot State: ,Reaction Mode Started"
"2017-06-16 15:31:50:707131" "Detected Cards: YELLOW Card Detected"
"2017-06-16 15:31:52:530192" "Robot State: ,Looking at The Book"
"2017-06-16 15:31:53:101271" "Robot State: ,Reaction Mode Ended"
