*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 19:56:49:450073" "Robot State: ,Introduce Nao Started"
"2017-06-14 19:56:52:550629" "Robot State: ,Introduce Nao Ended"
"2017-06-14 19:56:54:060472" "Robot State: ,Looking at The Book"
