*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 10:50:21:060847" "Robot State: ,Introduce Nao Started"
"2017-06-15 10:50:23:089069" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 10:50:31:616997" "Robot State: ,Looking at The Book"
"2017-06-15 10:50:34:553866" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 10:50:34:554292" "Robot State: ,Introduce Nao Ended"
"2017-06-15 10:50:36:085792" "Robot State: ,Looking at The Book"
"2017-06-15 10:51:07:573932" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 10:51:08:090091" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 10:51:08:643488" "Robot State: ,Looking at The Book"
"2017-06-15 10:51:10:578628" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 10:51:27:243084" "Robot State: ,Looking at The Book"
"2017-06-15 10:51:29:983137" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 10:51:52:574278" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 10:51:53:090724" "Robot State: ,Idle Mode Reaction Started"
