*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 10:57:54:829360" "Robot State: ,Introduce Nao Started"
"2017-06-16 10:57:56:805042" "Robot State: ,Introduce Nao Ended"
"2017-06-16 10:57:58:013165" "Robot State: ,Looking at The Book"
"2017-06-16 10:57:59:671610" "Robot State: ,TaskFINISH Selected"
"2017-06-16 10:58:00:459587" "Robot State: ,TaskFINISH Selected"
"2017-06-16 10:58:14:214971" "Robot State: ,Looking at The Book"
