*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 10:14:00:365205" "Robot State: ,Introduce Nao Started"
"2017-06-15 10:14:02:859993" "Robot State: ,Introduce Nao Ended"
"2017-06-15 10:14:04:151287" "Robot State: ,Looking at The Book"
"2017-06-15 10:14:04:780793" "Robot State: ,TaskFINISH Selected"
"2017-06-15 10:14:05:356813" "Robot State: ,TaskFINISH Selected"
"2017-06-15 10:14:19:113827" "Robot State: ,Looking at The Book"
