*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 14:35:15:738338" "Robot State: ,Introduce Nao Started"
"2017-06-15 14:35:17:718933" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 14:35:25:847680" "Robot State: ,Looking at The Book"
"2017-06-15 14:35:27:663569" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 14:35:27:664188" "Robot State: ,Introduce Nao Ended"
"2017-06-15 14:35:29:009012" "Robot State: ,Looking at The Book"
"2017-06-15 14:36:02:212418" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 14:36:02:719290" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 14:36:13:430833" "Robot State: ,Looking at The Book"
"2017-06-15 14:36:15:357986" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 14:36:21:944819" "Robot State: ,Looking at The Book"
"2017-06-15 14:36:24:639615" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 14:36:47:212528" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 14:36:47:720075" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 14:36:48:315787" "Robot State: ,Looking at The Book"
"2017-06-15 14:36:50:235034" "Robot State: ,Idle Mode Reaction Ended"
