*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 18:12:42:134782" "Robot State: ,Introduce Nao Started"
"2017-06-14 18:12:45:122457" "Robot State: ,Introduce Nao Ended"
"2017-06-14 18:12:46:676212" "Robot State: ,Looking at The Book"
"2017-06-14 18:12:47:624665" "Robot State: ,TaskONE Selected"
"2017-06-14 18:12:48:634900" "Robot State: ,Looking at The Book"
