*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 17:32:50:091592" "Robot State: ,Introduce Nao Started"
"2017-06-14 17:32:53:200574" "Robot State: ,Introduce Nao Ended"
"2017-06-14 17:32:54:410840" "Robot State: ,Looking at The Book"
"2017-06-14 17:32:55:062341" "Robot State: ,TaskFINISH Selected"
"2017-06-14 17:32:55:062471" "Robot State: ,TaskFINISH Selected"
"2017-06-14 17:33:04:876945" "Robot State: ,Looking at The Book"
"2017-06-14 17:33:05:390752" "Robot State: ,TaskFINISH Selected"
"2017-06-14 17:33:12:937309" "Robot State: ,TaskFINISH Selected"
