*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-06 18:49:51:895688" "Robot State: Introduce Nao Started"
"2017-06-06 18:49:54:743905" "Robot State: Introduce Nao Ended"
"2017-06-06 18:49:56:114567" "Robot State: Looking at The Book"
"2017-06-06 18:49:57:271713" "Robot State: TaskONE Selected"
"2017-06-06 18:49:58:575680" "Robot State: Looking at The Book"
"2017-06-06 18:49:59:152001" "Robot State: TaskONE Selected"
"2017-06-06 18:49:59:152350" "Robot State: TaskONE Selected"
"2017-06-06 18:49:59:496633" "Robot State: TaskONE Selected"
"2017-06-06 18:50:00:280044" "Robot State: TaskONE Selected"
"2017-06-06 18:50:01:087647" "Robot State: TaskONE Selected"
"2017-06-06 18:50:01:676775" "Robot State: Reading Mode Started"
"2017-06-06 18:50:01:822540" "Robot State: TaskONE Selected"
"2017-06-06 18:50:02:582290" "Robot State: TaskONE Selected"
"2017-06-06 18:50:03:394491" "Robot State: TaskONE Selected"
"2017-06-06 18:50:04:193704" "Robot State: TaskONE Selected"
"2017-06-06 18:50:04:986789" "Robot State: TaskONE Selected"
"2017-06-06 18:50:05:830448" "Robot State: TaskONE Selected"
"2017-06-06 18:50:15:606783" "Robot State: TaskONE Selected"
"2017-06-06 18:50:22:404744" "Robot State: TaskONE Selected"
"2017-06-06 18:50:23:170892" "Robot State: TaskONE Selected"
"2017-06-06 18:50:23:976342" "Robot State: TaskONE Selected"
"2017-06-06 18:50:24:726041" "Robot State: TaskONE Selected"
"2017-06-06 18:50:25:498517" "Robot State: TaskONE Selected"
"2017-06-06 18:50:26:303487" "Robot State: TaskONE Selected"
"2017-06-06 18:50:27:055596" "Robot State: TaskONE Selected"
"2017-06-06 18:50:27:802056" "Robot State: TaskONE Selected"
"2017-06-06 18:50:28:577114" "Robot State: TaskONE Selected"
