*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 10:44:36:438813" "Robot State: ,Introduce Nao Started"
"2017-06-15 10:44:38:384799" "Robot State: ,Introduce Nao Ended"
"2017-06-15 10:44:39:912159" "Robot State: ,Looking at The Book"
"2017-06-15 10:44:50:411828" "Robot State: ,TaskFINISH Selected"
"2017-06-15 10:44:51:047785" "Robot State: ,TaskFINISH Selected"
"2017-06-15 10:45:04:591147" "Robot State: ,Looking at The Book"
