*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 09:21:58:629982" "Robot State: ,Introduce Nao Started"
"2017-06-16 09:22:04:792324" "Robot State: ,Introduce Nao Ended"
"2017-06-16 09:22:06:004491" "Robot State: ,Looking at The Book"
"2017-06-16 09:22:08:568407" "Robot State: ,TaskFINISH Selected"
"2017-06-16 09:22:09:172005" "Robot State: ,TaskFINISH Selected"
"2017-06-16 09:22:23:682272" "Robot State: ,Looking at The Book"
