*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 13:10:16:139853" "Robot State: ,Introduce Nao Started"
"2017-06-15 13:10:47:802091" "Robot State: ,Introduce Nao Ended"
"2017-06-15 13:10:49:316384" "Robot State: ,Looking at The Book"
"2017-06-15 13:10:52:413304" "Robot State: ,TaskONE Selected"
"2017-06-15 13:10:53:436400" "Robot State: ,Looking at The Book"
"2017-06-15 13:10:56:607602" "Detected Cards: RED Card Detected"
"2017-06-15 13:10:57:831221" "Robot State: ,Reading Mode Started"
"2017-06-15 13:10:58:927070" "Robot State: ,Reaction Mode Started"
"2017-06-15 13:11:11:537631" "Robot State: ,Looking at The Book"
"2017-06-15 13:11:12:090849" "Robot State: ,Reaction Mode Ended"
"2017-06-15 13:11:15:149992" "Robot State: ,Reading Mode Started"
