*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 15:08:02:189579" "Robot State: ,Introduce Nao Started"
"2017-06-15 15:08:04:549382" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:08:05:604407" "Robot State: ,Looking at The Book"
"2017-06-15 15:08:10:047415" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 15:08:10:047660" "Robot State: ,Introduce Nao Ended"
"2017-06-15 15:08:17:464974" "Robot State: ,Looking at The Book"
"2017-06-15 15:08:49:043265" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:08:49:550286" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:08:50:121336" "Robot State: ,Looking at The Book"
"2017-06-15 15:08:52:892611" "Robot State: ,Idle Mode Reaction Ended"
