*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 15:29:59:361236" "Robot State: ,Introduce Nao Started"
"2017-06-15 15:30:01:697803" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:30:13:289604" "Robot State: ,Looking at The Book"
"2017-06-15 15:30:16:168317" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 15:30:16:168704" "Robot State: ,Introduce Nao Ended"
"2017-06-15 15:30:17:399496" "Robot State: ,Looking at The Book"
"2017-06-15 15:30:46:186804" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:30:46:698559" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:30:54:319089" "Robot State: ,Looking at The Book"
"2017-06-15 15:30:55:319714" "Robot State: ,Looking at The Book"
"2017-06-15 15:30:56:209603" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 15:30:58:455565" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 15:31:31:187212" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 15:31:31:699184" "Robot State: ,Idle Mode Reaction Started"
