*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 14:23:57:243120" "Robot State: ,Introduce Nao Started"
"2017-06-16 14:23:59:218889" "Robot State: ,Introduce Nao Ended"
"2017-06-16 14:24:00:845005" "Robot State: ,Looking at The Book"
