*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 13:26:21:006496" "Robot State: ,Introduce Nao Started"
"2017-06-15 13:26:23:132429" "Robot State: ,Introduce Nao Ended"
"2017-06-15 13:26:24:605672" "Robot State: ,Looking at The Book"
"2017-06-15 13:26:25:199576" "Robot State: ,TaskFINISH Selected"
"2017-06-15 13:26:25:926375" "Robot State: ,TaskFINISH Selected"
"2017-06-15 13:26:26:980378" "Robot State: ,Looking at The Book"
