*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 17:51:49:992794" "Robot State: ,Introduce Nao Started"
"2017-06-14 17:51:53:289580" "Robot State: ,Introduce Nao Ended"
"2017-06-14 17:51:54:882548" "Robot State: ,Looking at The Book"
"2017-06-14 17:51:55:613212" "Robot State: ,TaskFINISH Selected"
"2017-06-14 17:51:56:213478" "Robot State: ,TaskFINISH Selected"
"2017-06-14 17:52:09:781895" "Robot State: ,Looking at The Book"
