*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 15:34:57:346850" "Robot State: ,Introduce Nao Started"
"2017-06-16 15:35:01:516934" "Robot State: ,Introduce Nao Ended"
"2017-06-16 15:35:02:785569" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:04:314454" "Robot State: ,TaskTHREE Selected"
"2017-06-16 15:35:05:325396" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:14:837848" "Robot State: ,Reading Mode Started"
"2017-06-16 15:35:29:189653" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:29:752061" "Robot State: ,Reading Mode Ended"
"2017-06-16 15:35:30:965981" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:33:964387" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:50:211364" "Detected Cards: GREEN Card Detected"
"2017-06-16 15:35:58:145160" "Robot State: ,Looking at The Book"
"2017-06-16 15:35:58:656402" "Robot State: ,Reaction Mode Started"
"2017-06-16 15:36:08:223627" "Robot State: ,Looking at The Book"
"2017-06-16 15:36:08:773893" "Robot State: ,Reaction Mode Ended"
