*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 12:06:47:968460" "Robot State: ,Introduce Nao Started"
"2017-06-15 12:06:50:302459" "Robot State: ,Introduce Nao Ended"
"2017-06-15 12:06:52:036904" "Robot State: ,Looking at The Book"
"2017-06-15 12:06:52:631436" "Robot State: ,TaskFINISH Selected"
"2017-06-15 12:06:53:457751" "Robot State: ,TaskFINISH Selected"
"2017-06-15 12:07:06:754304" "Robot State: ,Looking at The Book"
