*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 11:13:59:410949" "Robot State: ,Introduce Nao Started"
"2017-06-15 11:14:01:366056" "Robot State: ,Introduce Nao Ended"
"2017-06-15 11:14:02:600247" "Robot State: ,Looking at The Book"
"2017-06-15 11:14:03:203851" "Robot State: ,TaskFINISH Selected"
"2017-06-15 11:14:03:821720" "Robot State: ,TaskFINISH Selected"
"2017-06-15 11:14:13:038301" "Robot State: ,Looking at The Book"
