*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 14:32:50:764178" "Robot State: ,Introduce Nao Started"
"2017-06-15 14:32:53:115862" "Robot State: ,Introduce Nao Ended"
"2017-06-15 14:32:54:471794" "Robot State: ,Looking at The Book"
"2017-06-15 14:32:55:236971" "Robot State: ,TaskFINISH Selected"
"2017-06-15 14:32:55:795776" "Robot State: ,TaskFINISH Selected"
"2017-06-15 14:33:04:952689" "Robot State: ,Looking at The Book"
