*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-15 11:15:46:114466" "Robot State: ,Introduce Nao Started"
"2017-06-15 11:15:48:469652" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 11:16:00:048107" "Robot State: ,Looking at The Book"
"2017-06-15 11:16:02:892519" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 11:16:02:892850" "Robot State: ,Introduce Nao Ended"
"2017-06-15 11:16:04:533342" "Robot State: ,Looking at The Book"
"2017-06-15 11:16:32:961577" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 11:16:33:470171" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 11:16:34:031645" "Robot State: ,Looking at The Book"
"2017-06-15 11:16:38:352247" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 11:16:52:971642" "Robot State: ,Looking at The Book"
"2017-06-15 11:16:54:827440" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 11:17:17:962126" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 11:17:18:470475" "Robot State: ,Idle Mode Reaction Started"
"2017-06-15 11:17:29:130122" "Robot State: ,Looking at The Book"
"2017-06-15 11:17:31:085228" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-15 11:17:33:965465" "Robot State: ,Looking at The Book"
"2017-06-15 11:17:36:701123" "Robot State: ,Idle Mode Reaction Ended"
