*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 13:55:57:664952" "Robot State: ,Introduce Nao Started"
"2017-06-16 13:55:59:585697" "Robot State: ,Introduce Nao Ended"
"2017-06-16 13:56:01:318118" "Robot State: ,Looking at The Book"
"2017-06-16 13:56:02:821473" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:56:03:384739" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:56:16:697882" "Robot State: ,Looking at The Book"
