*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 17:31:31:880733" "Robot State: ,Introduce Nao Started"
"2017-06-14 17:31:35:120552" "Robot State: ,Introduce Nao Ended"
"2017-06-14 17:31:36:615079" "Robot State: ,Looking at The Book"
"2017-06-14 17:32:20:122782" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 17:32:31:711659" "Robot State: ,Looking at The Book"
"2017-06-14 17:32:34:296460" "Robot State: ,Idle Mode Reaction Ended"
