*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-16 13:57:45:091815" "Robot State: ,Introduce Nao Started"
"2017-06-16 13:57:47:407144" "Robot State: ,Introduce Nao Ended"
"2017-06-16 13:57:48:733772" "Robot State: ,Looking at The Book"
"2017-06-16 13:57:49:318565" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:57:49:956760" "Robot State: ,TaskFINISH Selected"
"2017-06-16 13:57:59:875363" "Robot State: ,Looking at The Book"
